"key","nl","en","中文"
"ID_title","MeasureUp","MeasureUp","测量起点"
"ID_login_title","Inloggen","Login","登录"
"ID_login_username","Gebruikersnaam","Username","用户名"
"ID_login_password","Wachtwoord","Password","密码"
"ID_login_button","Inloggen","Log in","登录"
"ID_shibboleth_button","Log in met r-nummer","Log in with r-number","使用r-number登录"
"ID_login_register_button","Account maken","Create account","创建账户"
"ID_login_no_login_button","Speel zonder inloggen","Play without login","无需登录玩"
"ID_select_language","Kies taal","Choose language","选择语言"
"ID_leaderboards","Bekijk topscores","View leaderboards","查看排行榜"
"ID_main_menu","HOOFD MENU","MAIN MENU","主菜单"
"ID_menu","MENU","MENU","菜单"
"ID_reset","RESET","RESET","重置"
"ID_resume","HERVAT","RESUME","继续"
"ID_next_level","VOLGEND LEVEL","NEXT LEVEL","下一关"
"ID_random_level","RANDOM","RANDOM","随机"
"ID_show_answer","TOON ANTWOORD","SHOW ANSWER","显示答案"
"ID_correct","JUIST","CORRECT","正确"
"ID_logout","UITLOGGEN","LOGOUT","注销"
"ID_leaderboards","TOP SCORES","LEADER BOARDS","排行榜"
"ID_play","SPEEL","PLAY","玩"
"ID_welcome","Welkom,","Welcome,","欢迎,"
"ID_select_level","KIES","CHOOSE","选择"
"ID_random_level","RANDOM","RANDOM","随机"
"ID_back","SLUIT","CLOSE","关闭"
"ID_max_error","max fout:","max error:","最大错误:"
"ID_too_many_tries","Te veel pogingen, probeer opnieuw.","Too many tries, try again.","尝试次数过多，再试一次。"
"ID_wrong_setup","Stel op in punt A en meet naar P om te antwoorden","Setup in A and measure to P before submitting","在A点设置并在提交前测量到P点"
"ID_incorrect_answer","Fout antwoord...","Incorrect answer","错误答案"
"ID_correct_answer","Juiste waarden!","Correct value!","正确的值！"
"ID_submit","SUBMIT","SUBMIT","提交"
"ID_total","Totaal:","Total:","总计:"
"ID_results","Resultaten","Results","结果"
"ID_all_levels_complete","Alle levels voltooid!","All levels complete!","所有关卡已完成！"
"ID_not_all_levels_complete","Nog niet alle levels voltooid...","Not all levels completed...","并非所有关卡都已完成..."
"ID_answer","Antwoord","Answer","答案"
"ID_rotation_angle","verticale hoek","vertical angle","垂直角度"
"ID_transit","DOORSLAG","TRANSIT","极昼"
"ID_table_station","Station","Station","站"
"ID_table_point","Punt","Point","点"
"ID_table_measurement_back","Meting achter","Measuremnt back","后测量"
"ID_table_measurement_front","Meting voor","Measurement forward","前测量"
"ID_table_heightdifference","Hoogteverschil","Height difference","高度差"
"ID_table_distance_measurement","Afstandsmeting","Distance measurement","距离测量"
"ID_table_distance","Afstand","Distance","距离"
"ID_table_level","Peil","Level","水平"
"ID_table_final_level","Vereffend peil","Final level","最终水平"
"ID_table_trust_border","Vertrouwensgrens","Confidence interval","可信区间"
"ID_table_angle","Hoek","Angle","角度"
"ID_table_map_angle","Kaarthoek","Map angle","地图角度"
"ID_table_adjusted_map_angle","Vereff. karthoek","Adjusted map angle","调整后的地图角度"
"ID_distance_error","afstandsfout [mm]","Distance Error [mm]","距离误差[毫米］"
"ID_ppm","ppm [mm]","Ppm [mm]","Ppm [mm］"
"ID_anglular_error","hoekfout [mgon]","Angle error [mgon]","角度误差[mgon］"
"ID_how_to_play","Hoe werkt het?","How to play?","如何玩？"
"ID_tip_waterpassing_1","Sleep het meettoestel en de baak in het speelveld op de punten","Drag the leveling device and the beacon onto the playingfield","将水平仪和信标拖到游戏场地上"
"ID_tip_waterpassing_2","Klik op een vergrootglas om in te zoomen","click on the magnifyglass to zoom in","点击放大镜进行放大"
"ID_tip_waterpassing_3","Vul het antwoord in","enter your answer","输入你的答案"
"ID_tip_topdown_1","Klik op het speelveld om het meetstation te plaatsen","Click on the playingfield to place a basestation","点击游戏场地，放置一个基座"
"ID_tip_topdown_2","Klik nog om meetpunten te plaatsen","Click again to place a measuring point","再次点击以放置一个测量点"
"ID_tip_topdown_3","Sleep de bestaande punten om ze te verplaatsen","Drag the existing points to move them","拖动现有的点来移动它们"
"ID_tip_topdown_4","Gebruik de beschikbare metingen om de oplossing te berekenen","Use the measurements to calculate your answer","使用测量值来计算你的答案"
